xmin,ymin,xmax,ymax,confidence,class,timestamp,classifier
126,299.8918457,357.2277832,351.9928589,512.6194458,0.469257772,14,47,pruned_quant-aggressive_98
127,213.2102051,96.11123657,388.8129883,641.3640137,0.9166644216,0,48,pruned_quant-aggressive_98
128,363.9272156,262.0245361,442.8983459,548.1565552,0.7663725019,0,48,pruned_quant-aggressive_98
129,216.5529785,97.66552734,384.5236206,642.6887207,0.9152365327,0,49,pruned_quant-aggressive_98
130,365.506073,262.6790771,442.7316589,547.8359985,0.7451565266,0,49,pruned_quant-aggressive_98
131,217.988205,93.01879883,383.7924805,642.0375366,0.9183208346,0,50,pruned_quant-aggressive_98
132,366.6145325,260.4746399,443.3456726,546.8101807,0.7081813216,0,50,pruned_quant-aggressive_98
133,218.6539612,88.66043091,384.0896912,641.7646484,0.9128146172,0,51,pruned_quant-aggressive_98
134,362.9715576,256.6199341,445.2128296,545.3198853,0.6875550747,0,51,pruned_quant-aggressive_98
135,219.9021606,84.81561279,390.6577759,639.5997925,0.9036014676,0,52,pruned_quant-aggressive_98
136,369.6126404,253.1041565,446.3164368,541.7156982,0.7731871009,0,52,pruned_quant-aggressive_98
137,222.1355896,84.84057617,383.6546326,640.9334717,0.9006916881,0,53,pruned_quant-aggressive_98
138,365.2127075,250.6182251,448.626709,539.4448853,0.7357700467,0,53,pruned_quant-aggressive_98
139,224.8174896,78.81396484,385.1848755,640.7567749,0.8914730549,0,54,pruned_quant-aggressive_98
140,340.8954468,248.5881042,450.4422607,538.8529053,0.6750018001,0,54,pruned_quant-aggressive_98
141,225.6877594,80.78942871,389.6932373,640.8795776,0.8848853707,0,55,pruned_quant-aggressive_98
142,372.989563,249.8102264,451.9609985,537.2056274,0.762886703,0,55,pruned_quant-aggressive_98
143,227.9523315,83.54800415,374.8357544,640.4320068,0.8887584209,0,56,pruned_quant-aggressive_98
144,382.482666,250.0159149,452.682251,536.1329346,0.7370522022,0,56,pruned_quant-aggressive_98
145,228.6317139,84.82165527,385.416748,641.112854,0.8640813231,0,57,pruned_quant-aggressive_98
146,378.9682922,250.1535797,453.3611755,536.7848511,0.7437518835,0,57,pruned_quant-aggressive_98
147,228.8244171,84.5843811,389.2911987,642.6917725,0.8797079921,0,58,pruned_quant-aggressive_98
